tanggal,kandang,lokasi,umur_minggu,populasi,mati,produksi_butir,pakan_kg,suhu_c,anomali_flag,total_telur_kg,fcr
2023-01-01,K001,Dataran Tinggi,16.0,1500,0,556,189.65,22.0,False,33.36,5.684952038369305
2023-01-02,K001,Dataran Tinggi,16.1,1500,0,556,166.29,20.5,False,33.36,4.984712230215827
2023-01-03,K001,Dataran Tinggi,16.3,1500,0,556,190.22,20.1,False,33.36,5.702038369304557
2023-01-04,K001,Dataran Tinggi,16.4,1500,0,556,167.09,18.0,False,33.36,5.008693045563549
2023-01-05,K001,Dataran Tinggi,16.6,1500,0,556,170.26,19.6,False,33.36,5.103717026378897
2023-01-06,K001,Dataran Tinggi,16.7,1500,0,556,172.47,18.6,False,33.36,5.169964028776978
2023-01-07,K001,Dataran Tinggi,16.9,1500,0,556,176.82,19.2,False,33.36,5.3003597122302155
2023-01-08,K001,Dataran Tinggi,17.0,1500,0,556,166.71,18.4,False,33.36,4.997302158273381
2023-01-09,K001,Dataran Tinggi,17.1,1500,0,556,174.64,18.0,False,33.36,5.235011990407673
2023-01-10,K001,Dataran Tinggi,17.3,1500,0,556,188.43,18.0,False,33.36,5.648381294964029
2023-01-11,K001,Dataran Tinggi,17.4,1500,0,556,176.99,19.4,False,33.36,5.305455635491607
2023-01-12,K001,Dataran Tinggi,17.6,1500,0,556,184.49,19.4,False,33.36,5.530275779376499
2023-01-13,K001,Dataran Tinggi,17.7,1500,0,556,167.46,18.5,False,33.36,5.019784172661871
2023-01-14,K001,Dataran Tinggi,17.9,1500,0,556,169.68,21.2,False,33.36,5.086330935251799
2023-01-15,K001,Dataran Tinggi,18.0,1500,0,696,177.66,18.3,False,41.76,4.254310344827586
2023-01-16,K001,Dataran Tinggi,18.1,1500,0,705,190.71,20.3,False,42.3,4.508510638297873
2023-01-17,K001,Dataran Tinggi,18.3,1500,0,714,185.67,21.0,False,42.84,4.334033613445378
2023-01-18,K001,Dataran Tinggi,18.4,1500,0,723,163.88,18.5,False,43.38,3.7777777777777772
2023-01-19,K001,Dataran Tinggi,18.6,1500,0,731,180.02,18.8,False,43.86,4.104423164614683
2023-01-20,K001,Dataran Tinggi,18.7,1500,0,740,171.26,21.9,False,44.4,3.8572072072072072
2023-01-21,K001,Dataran Tinggi,18.9,1500,0,749,175.58,18.0,False,44.94,3.9069870939029823
2023-01-22,K001,Dataran Tinggi,19.0,1500,0,758,178.2,22.3,False,45.48,3.9182058047493404
2023-01-23,K001,Dataran Tinggi,19.1,1500,0,767,174.27,18.6,False,46.02,3.786831812255541
2023-01-24,K001,Dataran Tinggi,19.3,1500,0,776,176.65,19.9,False,46.56,3.794029209621993
2023-01-25,K001,Dataran Tinggi,19.4,1500,0,785,183.91,18.2,False,47.1,3.9046709129511674
2023-01-26,K001,Dataran Tinggi,19.6,1500,0,794,185.46,19.9,False,47.64,3.8929471032745595
2023-01-27,K001,Dataran Tinggi,19.7,1500,0,803,167.19,21.2,False,48.18,3.4701120797011207
2023-01-28,K001,Dataran Tinggi,19.9,1500,0,812,188.05,18.7,False,48.72,3.859811165845649
2023-01-29,K001,Dataran Tinggi,20.0,1500,0,821,174.26,19.9,False,49.26,3.5375558262281768
2023-01-30,K001,Dataran Tinggi,20.1,1500,0,830,176.72,18.5,False,49.8,3.54859437751004
2023-01-31,K001,Dataran Tinggi,20.3,1500,0,839,171.63,20.2,False,50.34,3.409415971394517
2023-02-01,K001,Dataran Tinggi,20.4,1500,0,848,182.37,19.3,False,50.88,3.584316037735849
2023-02-02,K001,Dataran Tinggi,20.6,1500,0,857,169.1,19.4,False,51.42,3.2886036561649163
2023-02-03,K001,Dataran Tinggi,20.7,1500,0,866,162.78,24.4,False,51.96,3.132794457274827
2023-02-04,K001,Dataran Tinggi,20.9,1500,0,875,169.89,20.1,False,52.5,3.2359999999999998
2023-02-05,K001,Dataran Tinggi,21.0,1500,0,884,176.09,21.0,False,53.04,3.319947209653092
2023-02-06,K001,Dataran Tinggi,21.1,1500,0,893,183.11,18.0,False,53.58,3.4175065322881677
2023-02-07,K001,Dataran Tinggi,21.3,1500,0,902,177.45,18.5,False,54.12,3.2788248337028825
2023-02-08,K001,Dataran Tinggi,21.4,1500,0,910,179.07,19.8,False,54.6,3.2796703296703296
2023-02-09,K001,Dataran Tinggi,21.6,1500,0,919,166.83,22.8,False,55.14,3.02557127312296
2023-02-10,K001,Dataran Tinggi,21.7,1500,0,928,165.74,19.0,False,55.68,2.976652298850575
2023-02-11,K001,Dataran Tinggi,21.9,1500,0,937,187.49,18.0,False,56.22,3.334934187122021
2023-02-12,K001,Dataran Tinggi,22.0,1500,0,946,178.02,20.1,False,56.76,3.1363636363636367
2023-02-13,K001,Dataran Tinggi,22.1,1500,0,955,188.08,21.3,False,57.3,3.2823734729493896
2023-02-14,K001,Dataran Tinggi,22.3,1500,0,964,171.97,20.4,False,57.84,2.97320193637621
2023-02-15,K001,Dataran Tinggi,22.4,1500,0,973,184.63,20.3,False,58.38,3.162555669749914
2023-02-16,K001,Dataran Tinggi,22.6,1500,0,982,188.12,18.5,False,58.92,3.192803801765105
2023-02-17,K001,Dataran Tinggi,22.7,1500,0,991,166.43,20.9,False,59.46,2.7990245543222336
2023-02-18,K001,Dataran Tinggi,22.9,1500,0,1000,168.29,21.5,False,60.0,2.8048333333333333
2023-02-19,K001,Dataran Tinggi,23.0,1500,0,1009,183.65,20.8,False,60.54,3.033531549388834
2023-02-20,K001,Dataran Tinggi,23.1,1500,0,1018,178.41,18.5,False,61.08,2.9209233791748526
2023-02-21,K001,Dataran Tinggi,23.3,1500,0,1027,168.87,20.8,False,61.62,2.7405063291139244
2023-02-22,K001,Dataran Tinggi,23.4,1500,0,1036,180.26,23.0,False,62.16,2.89993564993565
2023-02-23,K001,Dataran Tinggi,23.6,1500,0,1045,176.18,18.5,False,62.7,2.8098883572567783
2023-02-24,K001,Dataran Tinggi,23.7,1500,0,1054,162.41,21.2,False,63.24,2.568153067678684
2023-02-25,K001,Dataran Tinggi,23.9,1500,0,1063,189.75,21.7,False,63.78,2.9750705550329255
2023-02-26,K001,Dataran Tinggi,24.0,1500,0,1072,188.99,20.1,False,64.32,2.93827736318408
2023-02-27,K001,Dataran Tinggi,24.1,1500,0,1081,186.78,18.0,False,64.86,2.879740980573543
2023-02-28,K001,Dataran Tinggi,24.3,1500,0,1089,171.02,18.0,False,65.34,2.6173859810223448
2023-03-01,K001,Dataran Tinggi,24.4,1500,0,1098,182.16,20.7,False,65.88,2.7650273224043715
2023-03-02,K001,Dataran Tinggi,24.6,1500,0,1107,190.81,18.2,False,66.42,2.872779283348389
2023-03-03,K001,Dataran Tinggi,24.7,1500,0,1116,183.48,22.6,False,66.96,2.740143369175627
2023-03-04,K001,Dataran Tinggi,24.9,1500,0,1125,170.33,21.6,False,67.5,2.5234074074074075
2023-03-05,K001,Dataran Tinggi,25.0,1500,0,1134,188.55,28.0,False,68.04,2.771164021164021
2023-03-06,K001,Dataran Tinggi,25.1,1500,0,1143,180.81,21.9,False,68.58,2.636482939632546
2023-03-07,K001,Dataran Tinggi,25.3,1500,0,1152,171.64,20.2,False,69.12,2.483217592592592
2023-03-08,K001,Dataran Tinggi,25.4,1500,0,1161,162.76,18.0,False,69.66,2.33649153028998
2023-03-09,K001,Dataran Tinggi,25.6,1500,0,1170,179.07,23.0,False,70.2,2.5508547008547007
2023-03-10,K001,Dataran Tinggi,25.7,1500,0,1179,177.05,22.2,False,70.74,2.502827254735652
2023-03-11,K001,Dataran Tinggi,25.9,1500,0,1188,164.21,19.6,False,71.28,2.3037317620650954
2023-03-12,K001,Dataran Tinggi,26.0,1500,0,1197,180.44,21.3,False,71.82,2.51239209133946
2023-03-13,K001,Dataran Tinggi,26.1,1500,0,1206,169.66,20.7,False,72.36,2.3446655610834717
2023-03-14,K001,Dataran Tinggi,26.3,1500,0,1215,190.0,22.8,False,72.9,2.606310013717421
2023-03-15,K001,Dataran Tinggi,26.4,1500,0,1224,166.79,19.8,False,73.44,2.2711056644880174
2023-03-16,K001,Dataran Tinggi,26.6,1500,0,1233,182.71,23.0,False,73.98,2.469721546363882
2023-03-17,K001,Dataran Tinggi,26.7,1500,0,1242,183.39,23.2,False,74.52,2.460950080515298
2023-03-18,K001,Dataran Tinggi,26.9,1500,0,1251,168.98,19.8,False,75.06,2.251265654143352
2023-03-19,K001,Dataran Tinggi,27.0,1500,0,1260,165.11,22.8,False,75.6,2.1839947089947094
2023-03-20,K001,Dataran Tinggi,27.1,1500,0,1268,164.58,19.3,False,76.08,2.163249211356467
2023-03-21,K001,Dataran Tinggi,27.3,1500,0,1277,174.46,18.5,False,76.62,2.276951187679457
2023-03-22,K001,Dataran Tinggi,27.4,1500,0,1286,163.03,18.6,False,77.16,2.112882322446864
2023-03-23,K001,Dataran Tinggi,27.6,1500,0,1295,186.88,22.4,False,77.7,2.405148005148005
2023-03-24,K001,Dataran Tinggi,27.7,1500,0,1304,180.59,20.8,False,78.24,2.3081543967280167
2023-03-25,K001,Dataran Tinggi,27.9,1500,0,1313,178.62,19.1,False,78.78,2.2673267326732676
2023-03-26,K001,Dataran Tinggi,28.0,1500,0,1282,189.38,21.4,False,76.92,2.4620384815392615
2023-03-27,K001,Dataran Tinggi,28.1,1500,0,1281,163.74,20.4,False,76.86,2.130366900858704
2023-03-28,K001,Dataran Tinggi,28.3,1500,0,1281,186.54,21.0,False,76.86,2.4270101483216235
2023-03-29,K001,Dataran Tinggi,28.4,1500,0,1282,187.5,23.0,False,76.92,2.437597503900156
2023-03-30,K001,Dataran Tinggi,28.6,1500,0,1281,183.77,19.4,False,76.86,2.390970595888629
2023-03-31,K001,Dataran Tinggi,28.7,1500,0,1281,189.06,24.1,False,76.86,2.459797033567525
2023-04-01,K001,Dataran Tinggi,28.9,1500,0,1283,164.73,23.8,False,76.98,2.1399064692127823
2023-04-02,K001,Dataran Tinggi,29.0,1500,0,1281,188.03,21.7,False,76.86,2.4463960447567006
2023-04-03,K001,Dataran Tinggi,29.1,1500,0,1282,180.28,21.1,False,76.92,2.343733749349974
2023-04-04,K001,Dataran Tinggi,29.3,1500,0,1282,183.82,23.3,False,76.92,2.3897555902236087
2023-04-05,K001,Dataran Tinggi,29.4,1500,0,1282,163.39,25.7,False,76.92,2.1241549661986476
2023-04-06,K001,Dataran Tinggi,29.6,1500,0,1281,165.14,21.1,False,76.86,2.148581837106427
2023-04-07,K001,Dataran Tinggi,29.7,1500,0,1281,164.17,22.7,False,76.86,2.1359614884205045
2023-04-08,K001,Dataran Tinggi,29.9,1500,0,1282,164.09,19.5,False,76.92,2.1332553302132085
2023-04-09,K001,Dataran Tinggi,30.0,1500,0,1283,190.69,25.1,False,76.98,2.4771369186801766
2023-04-10,K001,Dataran Tinggi,30.1,1500,0,1283,178.12,22.1,False,76.98,2.3138477526630292
2023-04-11,K001,Dataran Tinggi,30.3,1500,0,1282,162.03,22.4,False,76.92,2.106474258970359
2023-04-12,K001,Dataran Tinggi,30.4,1500,0,1281,180.79,25.6,False,76.86,2.3521988030184753
2023-04-13,K001,Dataran Tinggi,30.6,1500,0,1281,170.1,23.5,False,76.86,2.2131147540983607
2023-04-14,K001,Dataran Tinggi,30.7,1500,0,1280,190.21,22.6,False,76.8,2.4766927083333337
2023-04-15,K001,Dataran Tinggi,30.9,1500,0,1282,190.2,23.5,False,76.92,2.472698907956318
2023-04-16,K001,Dataran Tinggi,31.0,1500,0,1282,180.15,23.1,False,76.92,2.34204368174727
2023-04-17,K001,Dataran Tinggi,31.1,1500,0,1281,189.64,24.7,False,76.86,2.467343221441582
2023-04-18,K001,Dataran Tinggi,31.3,1500,0,1281,167.23,21.8,False,76.86,2.175774134790528
2023-04-19,K001,Dataran Tinggi,31.4,1500,0,1281,190.35,23.6,False,76.86,2.4765807962529274
2023-04-20,K001,Dataran Tinggi,31.6,1500,0,1282,166.48,26.6,False,76.92,2.1643265730629224
2023-04-21,K001,Dataran Tinggi,31.7,1500,0,1283,163.03,22.4,False,76.98,2.117822811119771
2023-04-22,K001,Dataran Tinggi,31.9,1500,0,1283,166.12,25.7,False,76.98,2.1579631073005974
2023-04-23,K001,Dataran Tinggi,32.0,1500,0,1283,186.35,21.2,False,76.98,2.4207586386074302
2023-04-24,K001,Dataran Tinggi,32.1,1500,0,1281,187.12,23.2,False,76.86,2.4345563361956803
2023-04-25,K001,Dataran Tinggi,32.3,1500,0,1283,186.68,19.9,False,76.98,2.4250454663548973
2023-04-26,K001,Dataran Tinggi,32.4,1500,0,1283,179.52,20.9,False,76.98,2.33203429462198
2023-04-27,K001,Dataran Tinggi,32.6,1500,0,1281,165.04,27.3,False,76.86,2.14728077023159
2023-04-28,K001,Dataran Tinggi,32.7,1500,0,1282,186.75,26.8,False,76.92,2.4278471138845554
2023-04-29,K001,Dataran Tinggi,32.9,1500,0,1282,165.64,25.1,False,76.92,2.1534061362454495
2023-04-30,K001,Dataran Tinggi,33.0,1500,0,1281,162.13,19.9,False,76.86,2.1094197241738226
2023-05-01,K001,Dataran Tinggi,33.1,1500,0,1282,188.28,19.1,False,76.92,2.4477379095163805
2023-05-02,K001,Dataran Tinggi,33.3,1500,0,1282,179.99,23.4,False,76.92,2.339963598543942
2023-05-03,K001,Dataran Tinggi,33.4,1500,0,1283,176.18,20.6,False,76.98,2.2886464016627697
2023-05-04,K001,Dataran Tinggi,33.6,1500,0,1281,165.49,21.7,False,76.86,2.153135571168358
2023-05-05,K001,Dataran Tinggi,33.7,1500,0,1281,188.07,23.0,False,76.86,2.4469164715066354
2023-05-06,K001,Dataran Tinggi,33.9,1500,0,1281,162.9,22.1,False,76.86,2.11943793911007
2023-05-07,K001,Dataran Tinggi,34.0,1500,0,1281,165.25,23.3,False,76.86,2.1500130106687485
2023-05-08,K001,Dataran Tinggi,34.1,1500,0,1282,182.0,24.2,False,76.92,2.3660946437857513
2023-05-09,K001,Dataran Tinggi,34.3,1500,0,1283,163.5,22.5,False,76.98,2.123928293063133
2023-05-10,K001,Dataran Tinggi,34.4,1500,0,1281,167.85,19.2,False,76.86,2.1838407494145198
2023-05-11,K001,Dataran Tinggi,34.6,1500,0,1281,175.3,21.9,False,76.86,2.280770231589904
2023-05-12,K001,Dataran Tinggi,34.7,1500,0,1282,177.34,22.0,False,76.92,2.3055122204888194
2023-05-13,K001,Dataran Tinggi,34.9,1500,0,1281,169.62,23.8,False,76.86,2.2068696330991413
2023-05-14,K001,Dataran Tinggi,35.0,1500,0,1281,171.33,25.7,False,76.86,2.2291178766588606
2023-05-15,K001,Dataran Tinggi,35.1,1500,0,1282,164.26,26.0,False,76.92,2.1354654186167443
2023-05-16,K001,Dataran Tinggi,35.3,1500,0,1282,165.45,21.3,False,76.92,2.1509360374414976
2023-05-17,K001,Dataran Tinggi,35.4,1500,0,1282,172.17,24.3,False,76.92,2.238299531981279
2023-05-18,K001,Dataran Tinggi,35.6,1500,0,1281,166.19,23.2,False,76.86,2.1622430392922194
2023-05-19,K001,Dataran Tinggi,35.7,1500,0,1281,166.8,25.5,False,76.86,2.1701795472287277
2023-05-20,K001,Dataran Tinggi,35.9,1500,0,1281,173.4,25.7,False,76.86,2.256049960967994
2023-05-21,K001,Dataran Tinggi,36.0,1500,0,1282,189.02,27.5,False,76.92,2.4573582943317733
2023-05-22,K001,Dataran Tinggi,36.1,1500,0,1283,167.2,20.7,False,76.98,2.171992725383216
2023-05-23,K001,Dataran Tinggi,36.3,1500,0,1281,165.08,25.9,False,76.86,2.147801196981525
2023-05-24,K001,Dataran Tinggi,36.4,1500,0,1281,175.85,24.4,False,76.86,2.2879260994015094
